Type,Severity,Precipitation(in),Time(UTC),Latitude,Longitude,Date,Timestamp
Rain,Light,0,6:35 AM,32.9686055,-96.8300414,11-Mar-19,201903110635
Rain,Light,0,2:47 AM,32.9686055,-96.8300414,7-Jan-16,201601070247
Rain,Light,0,7:47 PM,32.9686055,-96.8300414,16-Jan-16,201601161947
Rain,Light,0,2:47 PM,32.9686055,-96.8300414,21-Jan-16,201601211447
Rain,Light,0,5:01 PM,32.9686055,-96.8300414,21-Jan-16,201601211701
Rain,Light,0,5:35 AM,32.9686055,-96.8300414,2-Feb-16,201602020535
Rain,Light,0,6:35 AM,32.9686055,-96.8300414,6-Feb-16,201602060635
Rain,Light,0,7:55 AM,32.9686055,-96.8300414,15-Feb-16,201602150755
Rain,Light,0,9:15 AM,32.9686055,-96.8300414,15-Feb-16,201602150915
Rain,Light,0,8:53 PM,32.9686055,-96.8300414,21-Feb-16,201602212053
Rain,Light,0,11:47 AM,32.9686055,-96.8300414,23-Feb-16,201602231147
Rain,Light,0,4:55 AM,32.9686055,-96.8300414,24-Feb-16,201602240455
Rain,Light,0,5:47 PM,32.9686055,-96.8300414,7-Mar-16,201603071747
Rain,Light,0,3:15 AM,32.9686055,-96.8300414,8-Mar-16,201603080315
Rain,Light,0,4:15 AM,32.9686055,-96.8300414,8-Mar-16,201603080415
Rain,Light,0,5:35 AM,32.9686055,-96.8300414,8-Mar-16,201603080535
Rain,Light,0,8:15 AM,32.9686055,-96.8300414,8-Mar-16,201603080815
Rain,Light,0,9:10 AM,32.9686055,-96.8300414,8-Mar-16,201603080910
Rain,Light,0,9:55 AM,32.9686055,-96.8300414,8-Mar-16,201603080955
Rain,Light,0,6:47 PM,32.9686055,-96.8300414,8-Mar-16,201603081847
Rain,Light,0,6:55 AM,32.9686055,-96.8300414,9-Mar-16,201603090655
Rain,Light,0,11:47 AM,32.9686055,-96.8300414,9-Mar-16,201603091147
Rain,Light,0,10:47 PM,32.9686055,-96.8300414,9-Mar-16,201603092247
Rain,Light,0,4:15 AM,32.9686055,-96.8300414,10-Mar-16,201603100415
Rain,Light,0,7:35 AM,32.9686055,-96.8300414,11-Mar-16,201603110735
Rain,Light,0,9:55 AM,32.9686055,-96.8300414,11-Mar-16,201603110955
Rain,Light,0,4:47 PM,32.9686055,-96.8300414,11-Mar-16,201603111647
Rain,Light,0,10:15 AM,32.9686055,-96.8300414,17-Mar-16,201603171015
Rain,Light,0,10:55 AM,32.9686055,-96.8300414,17-Mar-16,201603171055
Rain,Light,0,3:48 PM,32.9686055,-96.8300414,17-Mar-16,201603171548
Rain,Light,0,4:47 PM,32.9686055,-96.8300414,30-Mar-16,201603301647
Rain,Light,0,8:47 PM,32.9686055,-96.8300414,30-Mar-16,201603302047
Rain,Light,0,12:47 AM,32.9686055,-96.8300414,31-Mar-16,201603310047
Rain,Light,0,8:47 PM,32.9686055,-96.8300414,9-Apr-16,201604092047
Rain,Light,0,2:47 PM,32.9686055,-96.8300414,11-Apr-16,201604111447
Rain,Light,0,11:55 PM,32.9686055,-96.8300414,11-Apr-16,201604112355
Rain,Light,0,5:15 AM,32.9686055,-96.8300414,14-Apr-16,201604140515
Rain,Light,0,6:15 AM,32.9686055,-96.8300414,14-Apr-16,201604140615
Rain,Light,0,2:47 PM,32.9686055,-96.8300414,17-Apr-16,201604171447
Rain,Light,0,4:15 AM,32.9686055,-96.8300414,18-Apr-16,201604180415
Rain,Light,0,1:52 PM,32.9686055,-96.8300414,20-Apr-16,201604201352
Rain,Light,0,10:55 AM,32.9686055,-96.8300414,21-Apr-16,201604211055
Rain,Light,0,4:15 AM,32.9686055,-96.8300414,27-Apr-16,201604270415
Rain,Light,0,6:35 AM,32.9686055,-96.8300414,29-Apr-16,201604290635
Rain,Light,0,7:35 AM,32.9686055,-96.8300414,29-Apr-16,201604290735
Rain,Light,0,4:47 PM,32.9686055,-96.8300414,29-Apr-16,201604291647
Rain,Light,0,11:12 PM,32.9686055,-96.8300414,29-Apr-16,201604292312
Rain,Light,0,7:15 AM,32.9686055,-96.8300414,2-May-16,201605020715
Rain,Light,0,8:35 AM,32.9686055,-96.8300414,2-May-16,201605020835
Rain,Light,0,12:50 PM,32.9686055,-96.8300414,2-May-16,201605021250
Rain,Light,0,6:47 PM,32.9686055,-96.8300414,8-May-16,201605081847
Rain,Light,0,10:15 AM,32.9686055,-96.8300414,9-May-16,201605091015
Rain,Light,0,11:15 AM,32.9686055,-96.8300414,9-May-16,201605091115
Rain,Light,0,2:14 AM,32.9686055,-96.8300414,11-May-16,201605110214
Rain,Light,0,11:35 AM,32.9686055,-96.8300414,14-May-16,201605141135
Rain,Light,0,4:55 AM,32.9686055,-96.8300414,16-May-16,201605160455
Rain,Light,0,11:15 AM,32.9686055,-96.8300414,16-May-16,201605161115
Rain,Light,0,11:15 AM,32.9686055,-96.8300414,17-May-16,201605171115
Rain,Light,0,12:47 PM,32.9686055,-96.8300414,18-May-16,201605181247
Rain,Light,0,4:15 AM,32.9686055,-96.8300414,19-May-16,201605190415
Rain,Light,0,12:47 PM,32.9686055,-96.8300414,19-May-16,201605191247
Rain,Light,0,2:47 PM,32.9686055,-96.8300414,23-May-16,201605231447
Rain,Light,0,4:15 AM,32.9686055,-96.8300414,24-May-16,201605240415
Rain,Light,0,2:47 PM,32.9686055,-96.8300414,26-May-16,201605261447
Rain,Light,0,7:47 PM,32.9686055,-96.8300414,26-May-16,201605261947
Rain,Light,0,7:35 AM,32.9686055,-96.8300414,27-May-16,201605270735
Rain,Light,0,11:35 AM,32.9686055,-96.8300414,28-May-16,201605281135
Rain,Light,0,11:35 AM,32.9686055,-96.8300414,29-May-16,201605291135
Rain,Light,0,12:47 AM,32.9686055,-96.8300414,30-May-16,201605300047
